"c_digo","nombre_variable","unidad","fuente","descripci_n","a_o_fecha","a_o_texto","pa_s_nombre","pa_s_c_digo","valor"
"IDBA","IDBA","Valor 1-8","BID","Valor Final del Índice IDBA","2012-01-01T00:00:00.000","2012","Gran Bretaña","GBR","6.9"
"IDBA","IDBA","Valor 1-8","BID","Valor Final del Índice IDBA","2014-01-01T00:00:00.000","2014","Grecia","GRC","5.3"
"IDBA","IDBA","Valor 1-8","BID","Valor Final del Índice IDBA","2013-01-01T00:00:00.000","2013","Grecia","GRC","5.07"
"IDBA","IDBA","Valor 1-8","BID","Valor Final del Índice IDBA","2012-01-01T00:00:00.000","2012","Grecia","GRC","5.05"
"IDBA","IDBA","Valor 1-8","BID","Valor Final del Índice IDBA","2014-01-01T00:00:00.000","2014","Guatemala","GTM","3.94"
"IDBA","IDBA","Valor 1-8","BID","Valor Final del Índice IDBA","2013-01-01T00:00:00.000","2013","Guatemala","GTM","3.71"
"IDBA","IDBA","Valor 1-8","BID","Valor Final del Índice IDBA","2012-01-01T00:00:00.000","2012","Guatemala","GTM","3.7"
"IDBA","IDBA","Valor 1-8","BID","Valor Final del Índice IDBA","2014-01-01T00:00:00.000","2014","Guyana","GUY","3.56"
"IDBA","IDBA","Valor 1-8","BID","Valor Final del Índice IDBA","2013-01-01T00:00:00.000","2013","Guyana","GUY","3.16"
"IDBA","IDBA","Valor 1-8","BID","Valor Final del Índice IDBA","2012-01-01T00:00:00.000","2012","Guyana","GUY","3.15"
"IDBA","IDBA","Valor 1-8","BID","Valor Final del Índice IDBA","2014-01-01T00:00:00.000","2014","Haití","HTI","1.81"
"IDBA","IDBA","Valor 1-8","BID","Valor Final del Índice IDBA","2013-01-01T00:00:00.000","2013","Haití","HTI","1.71"
"IDBA","IDBA","Valor 1-8","BID","Valor Final del Índice IDBA","2012-01-01T00:00:00.000","2012","Haití","HTI","1.71"
"IDBA","IDBA","Valor 1-8","BID","Valor Final del Índice IDBA","2014-01-01T00:00:00.000","2014","Honduras","HND","3.22"
"IDBA","IDBA","Valor 1-8","BID","Valor Final del Índice IDBA","2013-01-01T00:00:00.000","2013","Honduras","HND","3.58"
"IDBA","IDBA","Valor 1-8","BID","Valor Final del Índice IDBA","2012-01-01T00:00:00.000","2012","Honduras","HND","3.57"
"IDBA","IDBA","Valor 1-8","BID","Valor Final del Índice IDBA","2014-01-01T00:00:00.000","2014","Hungría","HUN","5.6"
"IDBA","IDBA","Valor 1-8","BID","Valor Final del Índice IDBA","2013-01-01T00:00:00.000","2013","Hungría","HUN","5.33"
"IDBA","IDBA","Valor 1-8","BID","Valor Final del Índice IDBA","2012-01-01T00:00:00.000","2012","Hungría","HUN","5.32"
"IDBA","IDBA","Valor 1-8","BID","Valor Final del Índice IDBA","2014-01-01T00:00:00.000","2014","India","IND","4.32"
"IDBA","IDBA","Valor 1-8","BID","Valor Final del Índice IDBA","2013-01-01T00:00:00.000","2013","India","IND","4.32"
"IDBA","IDBA","Valor 1-8","BID","Valor Final del Índice IDBA","2012-01-01T00:00:00.000","2012","India","IND","4.3099999999999996"
"IDBA","IDBA","Valor 1-8","BID","Valor Final del Índice IDBA","2014-01-01T00:00:00.000","2014","Indonesia","IDN","4.7300000000000004"
"IDBA","IDBA","Valor 1-8","BID","Valor Final del Índice IDBA","2013-01-01T00:00:00.000","2013","Indonesia","IDN","4.37"
"IDBA","IDBA","Valor 1-8","BID","Valor Final del Índice IDBA","2012-01-01T00:00:00.000","2012","Indonesia","IDN","4.3600000000000003"
"IDBA","IDBA","Valor 1-8","BID","Valor Final del Índice IDBA","2014-01-01T00:00:00.000","2014","Irlanda","IRL","6.47"
"IDBA","IDBA","Valor 1-8","BID","Valor Final del Índice IDBA","2013-01-01T00:00:00.000","2013","Irlanda","IRL","6.15"
"IDBA","IDBA","Valor 1-8","BID","Valor Final del Índice IDBA","2012-01-01T00:00:00.000","2012","Irlanda","IRL","6.15"
"IDBA","IDBA","Valor 1-8","BID","Valor Final del Índice IDBA","2014-01-01T00:00:00.000","2014","Islandia","ISL","7"
"IDBA","IDBA","Valor 1-8","BID","Valor Final del Índice IDBA","2013-01-01T00:00:00.000","2013","Islandia","ISL","7.05"
"IDBA","IDBA","Valor 1-8","BID","Valor Final del Índice IDBA","2012-01-01T00:00:00.000","2012","Islandia","ISL","7.04"
"IDBA","IDBA","Valor 1-8","BID","Valor Final del Índice IDBA","2014-01-01T00:00:00.000","2014","Israel","ISR","6.52"
"IDBA","IDBA","Valor 1-8","BID","Valor Final del Índice IDBA","2013-01-01T00:00:00.000","2013","Israel","ISR","6.21"
"IDBA","IDBA","Valor 1-8","BID","Valor Final del Índice IDBA","2012-01-01T00:00:00.000","2012","Israel","ISR","6.19"
"IDBA","IDBA","Valor 1-8","BID","Valor Final del Índice IDBA","2014-01-01T00:00:00.000","2014","Italia","ITA","5.22"
"IDBA","IDBA","Valor 1-8","BID","Valor Final del Índice IDBA","2013-01-01T00:00:00.000","2013","Italia","ITA","5.17"
"IDBA","IDBA","Valor 1-8","BID","Valor Final del Índice IDBA","2012-01-01T00:00:00.000","2012","Italia","ITA","5.15"
"IDBA","IDBA","Valor 1-8","BID","Valor Final del Índice IDBA","2014-01-01T00:00:00.000","2014","Jamaica","JAM","4.37"
"IDBA","IDBA","Valor 1-8","BID","Valor Final del Índice IDBA","2013-01-01T00:00:00.000","2013","Jamaica","JAM","4.29"
"IDBA","IDBA","Valor 1-8","BID","Valor Final del Índice IDBA","2012-01-01T00:00:00.000","2012","Jamaica","JAM","4.29"
"IDBA","IDBA","Valor 1-8","BID","Valor Final del Índice IDBA","2014-01-01T00:00:00.000","2014","Japón","JPN","6.79"
"IDBA","IDBA","Valor 1-8","BID","Valor Final del Índice IDBA","2013-01-01T00:00:00.000","2013","Japón","JPN","6.5"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2014-01-01T00:00:00.000","2014","Bahamas","BHS","4.53"
"IDBA","IDBA","Valor 1-8","BID","Valor Final del Índice IDBA","2012-01-01T00:00:00.000","2012","Japón","JPN","6.49"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2013-01-01T00:00:00.000","2013","Bahamas","BHS","5.22"
"AC","Aplicaciones y Capacitación","Valor 1-8","BID","Pilar de Aplicaciones y Capacitación","2012-01-01T00:00:00.000","2012","Bahamas","BHS","4.75"
