"Año";"Periodo";"Pasajeros aéreos internacionales"
"2017";"Junio";"8.964.089"
"2017";"Julio";"10.218.036"
"2017";"Agosto";"9.829.206"
"2017";"Septiembre";"9.134.942"
"2017";"Octubre";"7.908.528"
"2017";"Noviembre";"5.070.000"
"2017";"Diciembre";"5.447.434"
"2018";"Enero";"4.923.091"
"2018";"Febrero";"5.050.120"
"2018";"Marzo";"6.427.369"
"2018";"Abril";"7.492.546"
"2018";"Mayo";"8.612.050"
"2018";"Junio";"9.291.560"
"2018";"Julio";"10.343.160"
"2018";"Agosto";"9.969.292"
"2018";"Septiembre";"9.446.821"
"2018";"Octubre";"8.307.096"
"2018";"Noviembre";"5.501.902"
"2018";"Diciembre";"5.890.874"
"2019";"Enero";"5.256.642"
"2019";"Febrero";"5.368.911"
"2019";"Marzo";"6.500.000"
"2019";"Abril";"8.040.000"
"2019";"Mayo";"8.800.000"
"2019";"Junio";"9.600.000"
"2019";"Julio";"10.410.000"
"2019";"Agosto";"10.320.000"
"2019";"Septiembre";"9.651.072"
"2019";"Octubre";"8.375.972"
"2019";"Noviembre";"5.713.115"
"2019";"Diciembre";"6.059.094"
"2020";"Enero";"5.353.625"
"2020";"Febrero";"5.510.049"
"2020";"Marzo";"2.339.662"
"2020";"Abril";"21.327"
"2020";"Mayo";"43.694"
"2020";"Junio";"184.913"
"2020";"Julio";"2.102.812"
;;
;;
"Métrica":"Pasajeros aéreos internacionales"
"Fuente":"Turespaña"
"Clasificación":""
"Unidad":"Nº de pasajeros"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/numero-pasajeros-aereos-internacionales-destino-espana/a2f30bc7-bc1c-42bb-8121-a8c13fe23497"
"Titulo":"Número de pasajeros aéreos internacionales  con destino España"
"Subtitulo":""
